"subject" "activity" "BodyAccMean" "BodyAccStd" "BodyAccJerkMean" "BodyAccJerkStd" "BodyGyroMean" "BodyGyroStd" "BodyGyroJerkMean" "BodyGyroJerkStd" "GravityAccMean" "GravityAccStd"
1 "LAYING" -0.540580899681175 -0.844418203856 -0.577441881078775 -0.943062708325 -0.547630363199 -0.8907949485575 -0.4257332667564 -0.94256151488 0.01513913562 -0.86301529481
1 "SITTING" -0.577980661437846 -0.940389254920213 -0.606670034929149 -0.98497322143617 -0.608373312931117 -0.954501053164894 -0.432473541731915 -0.988908762553191 0.104857110670213 -0.945023388404255
1 "STANDING" -0.596884278291274 -0.982405159410377 -0.609505600053764 -0.991572308632075 -0.615729998215307 -0.98370978759434 -0.436480942983396 -0.993919170679245 -0.0752048642306604 -0.983313983867925
1 "WALKING" -0.0701796860297368 -0.198726190125829 -0.096896823204225 -0.161104654108711 -0.135585108477855 -0.295896066055987 -0.158796723136421 -0.324614521741053 0.111996034913421 -0.778830368934211
1 "WALKING_DOWNSTAIRS" 0.0137101337371939 -0.0981926955324719 -0.0543826192910714 -0.151511204218801 -0.092176644532398 -0.281054716296173 -0.144484558118898 -0.338608834432245 0.157583103204184 -0.690908453771939
1 "WALKING_UPSTAIRS" -0.172095655528325 -0.168430085418868 -0.301581662902358 -0.514185951556604 -0.221955203287736 -0.295700107142689 -0.286928371279509 -0.633059746566038 0.0814667906792453 -0.786641650188679
2 "LAYING" -0.592185443433333 -0.978203654244792 -0.604355679500547 -0.986144538385417 -0.604992974117188 -0.973385169947917 -0.438005446071667 -0.990009992791667 -0.02195455109375 -0.976082659427083
2 "SITTING" -0.586286974794837 -0.962538838125 -0.603651199943397 -0.985124026902174 -0.613323051805435 -0.971856497853261 -0.431944317125652 -0.989073758391304 0.0164200983481304 -0.961059087771739
2 "STANDING" -0.585329358948843 -0.963263996481482 -0.601554706982269 -0.978493801481481 -0.605443760445023 -0.966975988125 -0.432851958207037 -0.978268020703704 -0.0773155375185185 -0.966170570694444
2 "WALKING" -0.160515631785085 -0.376091776761441 -0.162608993534428 -0.26925128454428 -0.297103730937182 -0.560357352669491 -0.26367368944678 -0.51501713020339 0.0901824341949153 -0.834856774491525
2 "WALKING_DOWNSTAIRS" 0.0976765458781915 0.0533204759473404 0.0345699438310372 0.0142022550867021 -0.137726029347952 -0.365565589469149 -0.192464367054468 -0.323698094619149 0.145528337279787 -0.649070565852128
2 "WALKING_UPSTAIRS" -0.0896501127076302 -0.151427818566667 -0.174470914331849 -0.343423874540885 -0.21994983152474 -0.379986195355729 -0.268684370786667 -0.559410716791667 0.017822902428125 -0.735539073928125
3 "LAYING" -0.586652832263508 -0.969019803225806 -0.599674112080646 -0.977623551451613 -0.597678573890222 -0.968164595625 -0.435749484364516 -0.983227416032258 0.0277963651612903 -0.973185165766129
3 "SITTING" -0.553035314133894 -0.891656300072115 -0.595479272421755 -0.968223018557692 -0.591809698522212 -0.940740873139423 -0.430920206281423 -0.975679392769231 0.0680098990326442 -0.907321371105769
3 "STANDING" -0.562002389337135 -0.921969641987705 -0.587942015308852 -0.956115648278689 -0.572198033489959 -0.90637941579918 -0.42221122343541 -0.956493135901639 -0.0668430160168033 -0.945687657704918
3 "WALKING" -0.151162071515905 -0.316098861267888 -0.16752537896028 -0.239829599271918 -0.309484098955172 -0.567052454935345 -0.271655151144241 -0.535626723862069 0.0704305464525862 -0.805161990603448
3 "WALKING_DOWNSTAIRS" -0.0414083312533163 -0.161583900369388 -0.116109187893087 -0.243425799096268 -0.192997584083418 -0.403603285051531 -0.248698209553469 -0.510013188889796 0.136265800900051 -0.709308430737245
3 "WALKING_UPSTAIRS" -0.169605632691271 -0.262126485958898 -0.273263733287352 -0.478946298056992 -0.294257994068432 -0.498392807161864 -0.316221017594237 -0.662908065118644 0.038430858029661 -0.774233470211864
4 "LAYING" -0.577658644351157 -0.94850694944213 -0.592038332560132 -0.965319401782407 -0.590648492297685 -0.960937785277778 -0.436607225022222 -0.982233207851852 -0.0296314626388889 -0.949621356791667
